,_id,ltable_id,rtable_id,ltable_title,ltable_cast,ltable_directors,ltable_writers,ltable_genres,ltable_keywords,ltable_content_rating,ltable_languages,ltable_budget,ltable_revenue,ltable_opening_weekend_revenue,ltable_production_companies,ltable_production_countries,ltable_alternative_titles,rtable_title,rtable_cast,rtable_directors,rtable_writers,rtable_genres,rtable_keywords,rtable_content_rating,rtable_languages,rtable_budget,rtable_revenue,rtable_opening_weekend_revenue,rtable_production_companies,rtable_production_countries,rtable_alternative_titles
38,38,a323,b3078,How to Train Your Dragon,Jay Baruchel;Gerard Butler;Craig Ferguson;America Ferrera;Jonah Hill,Dean DeBlois;Chris Sanders,William Davies;Dean DeBlois,Animation;Action;Adventure;Comedy;Family;Fantasy,dragon;viking;village;island;training,PG,English,$165000000,$494878759,$43732319,DreamWorks Animation;Mad Hatter Entertainment;Vertigo Entertainment,USA,How to Train Your Dragon: An IMAX 3D Experience,How to Train Your Dragon 2,Jay Baruchel;Cate Blanchett;Gerard Butler;Craig Ferguson;America Ferrera,Dean DeBlois,Dean DeBlois;Cressida Cowell,Fantasy;Action;Adventure;Animation;Comedy;Family,parent child relationship;wife husband relationship;sacrifice;viking;sequel;rescue;dragon;death of husband;warrior;3d,PG,English,$145000000.00,$609123048.00,,,,
39,39,a1823,b5209,Millennium Actress,Miyoko Shôji;Mami Koyama;Fumiko Orikasa;Shôzô Îzuka;Shouko Tsuda,Satoshi Kon,Satoshi Kon;Sadayuki Murai,Animation;Drama;Fantasy;Romance,key;cameraman;actress;adult animation;in medias res,PG,Japanese;English,,,$18732,Bandai Visual Company;Chiyoko Commitee;Genco,Japan,Millennium Actress,Millennium Actress,Miyoko Shoji;Mami Koyama;Fumiko Orikasa;Shozo Iizuka;Masaya Onosaka,Satoshi Kon,Satoshi Kon;Sadayuki Murai,Animation;Drama;Romance,historical;edo period;sengoku period;shouwa period;anime;meiji period,NR,Japanese,-,-,,,,
40,40,a237,b3626,Harry Potter and the Deathly Hallows: Part 1,Bill Nighy;Emma Watson;Richard Griffiths;Harry Melling;Daniel Radcliffe,David Yates,Steve Kloves;J.K. Rowling,Adventure;Family;Fantasy;Mystery,ginny weasley character;remus lupin character;lucius malfoy character;hermione granger character;draco malfoy character,PG-13,English,£150000000,$960283305,$125017327,Warner Bros.;Heyday Films,UK;USA,The Deathly Hallows,Harry Potter and the Deathly Hallows: Part 2,Daniel Radcliffe;Rupert Grint;Emma Watson;Alan Rickman;Maggie Smith,David Yates,Steve Kloves;J.K. Rowling,Family;Fantasy;Adventure,self sacrifice;magic;frog;sorcerer;school;wizard;3d,PG-13,English,$125000000.00,$1342000000.00,,,,
41,41,a108,b4464,Ghostbusters,Bill Murray;Dan Aykroyd;Sigourney Weaver;Harold Ramis;Rick Moranis,Ivan Reitman,Dan Aykroyd;Harold Ramis,Action;Comedy;Fantasy,university;ghost;paranormal;new york city;scientist,PG,English,$30000000,$291632124,$13612564,Columbia Pictures Corporation;Producers Sales Organization;Delphi Films,USA,Ghostbusters,Ghostbusters II,Bill Murray;Dan Aykroyd;Sigourney Weaver;Harold Ramis;Rick Moranis,Ivan Reitman,Harold Ramis;Dan Aykroyd,Comedy;Fantasy,slime;ghostbuster;product placement;reincarnation;painting;crude humor;scream;single mother;old flame;courtroom;book store;chrysler building;river of slime;revolving door;reference to slinky;occult research,PG,English,$37000000.00,$215394738.00,,,,
42,42,a902,b2721,Star Trek: First Contact,Patrick Stewart;Jonathan Frakes;Brent Spiner;LeVar Burton;Michael Dorn,Jonathan Frakes,Gene Roddenberry;Rick Berman,Action;Adventure;Drama;Sci-Fi;Thriller,first contact;male alien;extra vehicular activity;male android;federation computer voice character,PG-13,English,$45000000,$150000000,$30716131,Digital Image Associates;Paramount Pictures,USA,Star Trek 8,Star Trek: Nemesis,Patrick Stewart;Jonathan Frakes;Brent Spiner;LeVar Burton;Michael Dorn,Stuart Baird,John Logan,Science Fiction;Action;Adventure;Thriller,clone;assassination;ambush;federation;starfleet;enterprise-e;romulus;android;senate;self sacrifice;telepathy;weapon;romulans;space opera,PG-13,English,$60000000.00,$67312826.00,,,,
43,43,a68,b2305,The Godfather: Part II,Al Pacino;Robert Duvall;Diane Keaton;Robert De Niro;John Cazale,Francis Ford Coppola,Francis Ford Coppola;Mario Puzo,Crime;Drama,revenge;corrupt politician;mafia;bloody body of child;1950s,R,English;Italian;Spanish;Latin;Sicilian,$13000000,,,Paramount Pictures;The Coppola Company,USA,Mario Puzo's The Godfather: Part II,The Godfather: Part III,Al Pacino;Diane Keaton;Talia Shire;Andy García;Eli Wallach,Francis Ford Coppola,Francis Ford Coppola;Mario Puzo,Crime;Drama;Thriller,italy;christianity;new york;assassination;italian american;vatican;pope;confession;helicopter;daughter;lawyer,R,English,$54000000.00,$136766062.00,,,,
44,44,a1411,b4461,Neon Genesis Evangelion: The End of Evangelion,Megumi Ogata;Megumi Hayashibara;Yûko Miyamura;Kotono Mitsuishi;Yuriko Yamaguchi,Hideaki Anno;Kazuya Tsurumaki,Hideaki Anno,Animation;Action;Drama;Fantasy;Sci-Fi,despair;depression;anime;psychological;stream of consciousness,NOT RATED,Japanese,,,,Gainax;Kadokawa Shoten Publishing Co.;Movic,Japan,Neon Genesis Evangelion: The End of Evangelion,Evangelion: 1.0: You Are (Not) Alone,Megumi Ogata;Megumi Hayashibara;Kotono Mitsuishi;Yuriko Yamaguchi;Fumihiko Tachiki,Hideaki Anno;Masayuki;Kazuya Tsurumaki,Hideaki Anno,Animation;Science Fiction;Action;Drama,parent child relationship;anime,PG-13,Japanese,-,$223839.00,,,,
45,45,a902,b5055,Star Trek: First Contact,Patrick Stewart;Jonathan Frakes;Brent Spiner;LeVar Burton;Michael Dorn,Jonathan Frakes,Gene Roddenberry;Rick Berman,Action;Adventure;Drama;Sci-Fi;Thriller,first contact;male alien;extra vehicular activity;male android;federation computer voice character,PG-13,English,$45000000,$150000000,$30716131,Digital Image Associates;Paramount Pictures,USA,Star Trek 8,Star Trek: Generations,Patrick Stewart;Jonathan Frakes;Brent Spiner;LeVar Burton;Michael Dorn,David Carson,Brannon Braga;Ronald D. Moore,Science Fiction;Action;Adventure;Thriller,based on tv series;death;exploding planet;mountain cabin;solar system;cosmos,PG,English,$38000000.00,$120000000.00,,,,
46,46,a521,b1925,Kung Fu Panda,Jack Black;Dustin Hoffman;Angelina Jolie;Ian McShane;Jackie Chan,Mark Osborne;John Stevenson,Jonathan Aibel;Glenn Berger,Animation;Action;Adventure;Comedy;Family;Fantasy,kung fu;anthropomorphic animal;china;martial arts;giant panda,PG,English,$130000000,$631744560,$60239130,DreamWorks Animation;Pacific Data Images (PDI),USA,Kung Fu Panda: The IMAX Experience,Kung Fu Panda 3,Jack Black;Bryan Cranston;Dustin Hoffman;Angelina Jolie;J.K. Simmons,Jennifer Yuh Nelson;Alessandro Carloni,Jonathan Aibel;Glenn Berger,Action;Adventure;Animation;Comedy;Family,china;martial arts;kung fu;village;fighter;panda;sequel;talking animal;anthropomorphism;dragon;ancient china;wuxia;woman director,PG,English,$145000000.00,$521170825.00,,,,
47,47,a252,b5125,The Hangover,Bradley Cooper;Ed Helms;Zach Galifianakis;Justin Bartha;Heather Graham,Todd Phillips,Jon Lucas;Scott Moore,Comedy,female frontal nudity;morning after;female nudity;hangover;drunkenness,R,English,$35000000,$467483912,$44979319,Warner Bros.;Legendary Entertainment;Green Hat Films,USA;Germany,¿Qué pasó ayer?,The Hangover Part III,Bradley Cooper;Ed Helms;Zach Galifianakis;Justin Bartha;Ken Jeong,Todd Phillips,Todd Phillips;Craig Mazin,Comedy,sequel;hangover,R,English,$103000000.00,$362000072.00,,,,
48,48,a668,b1499,Clerks,Brian O'Halloran;Jeff Anderson;Marilyn Ghigliotti;Lisa Spoonauer;Jason Mewes,Kevin Smith,Kevin Smith,Comedy,friendship;friend;silent bob character;jay character;antisocial,R,English,$27575,,$31665,View Askew Productions;Miramax,USA,Clerks,Clerks II,Brian O'Halloran;Jeff Anderson;Jason Mewes;Kevin Smith;Rosario Dawson,Kevin Smith,Kevin Smith,Comedy,independent film;aftercreditsstinger;duringcreditsstinger,R,English,$5000000.00,$26888376.00,,,,
49,49,a602,b3264,The Fall,Catinca Untaru;Justine Waddell;Lee Pace;Kim Uylenbroek;Aiden Lithgow,Tarsem Singh,Dan Gilroy;Nico Soultanakis,Adventure;Comedy;Drama;Fantasy,building explosion;camera obscura;man girl relationship;adult child bonding;imagination,R,English;Romanian;Latin,,,$79611,Googly Films;Absolute Entertainment (II);Deep Films,USA;South Africa;India,Pad,The Fall,Catinca Untaru;Lee Pace;Justine Waddell;Kim Uylenbroek;Aiden Lithgow,Tarsem Singh,Tarsem Singh;Nico Soultanakis;Dan Gilroy,Adventure;Fantasy;Drama,fictional place;morphine;storytelling;darwin;imagination;1920s,,English,$30000000.00,$3669465.00,,,,
50,50,a902,b5127,Star Trek: First Contact,Patrick Stewart;Jonathan Frakes;Brent Spiner;LeVar Burton;Michael Dorn,Jonathan Frakes,Gene Roddenberry;Rick Berman,Action;Adventure;Drama;Sci-Fi;Thriller,first contact;male alien;extra vehicular activity;male android;federation computer voice character,PG-13,English,$45000000,$150000000,$30716131,Digital Image Associates;Paramount Pictures,USA,Star Trek 8,Star Trek: Insurrection,Patrick Stewart;Jonathan Frakes;Brent Spiner;LeVar Burton;Michael Dorn,Jonathan Frakes,Michael Piller,Science Fiction;Action;Adventure;Thriller,starships;alien;space opera;retribution;spacecraft officer;exploding ship;cosmos,PG,English,$70000000.00,$118000000.00,,,,
51,51,a419,b386,How to Train Your Dragon 2,Jay Baruchel;Cate Blanchett;Gerard Butler;Craig Ferguson;America Ferrera,Dean DeBlois,Dean DeBlois;Cressida Cowell,Animation;Action;Adventure;Comedy;Family;Fantasy,dragon;viking;husband wife relationship;mother son relationship;father son relationship,PG,English,$145000000,$621537519,$49451322,DreamWorks Animation;Mad Hatter Entertainment,USA,Cómo entrenar a tu dragón 2,How to Train Your Dragon,Jay Baruchel;Gerard Butler;Craig Ferguson;America Ferrera;David Tennant,Dean DeBlois;Chris Sanders,Dean DeBlois;Chris Sanders;Will Davies;Cressida Cowell,Fantasy;Adventure;Animation;Family,flying;blacksmith;arena;island;night;ship;training;village;forest;viking;friendship;ignorance;flight;nest;dragon;battle;combat;well;warrior,PG,English,$165000000.00,$494878759.00,,,,
52,52,a59,b4351,The Lord of the Rings: The Fellowship of the Ring,Alan Howard;Noel Appleby;Sean Astin;Sala Baker;Sean Bean,Peter Jackson,J.R.R. Tolkien;Fran Walsh,Adventure;Drama;Fantasy,ring;quest;hobbit;elf;orc,PG-13,English;Sindarin,$93000000,$871530324,$66114741,New Line Cinema;WingNut Films;The Saul Zaentz Company,New Zealand;USA,The Fellowship of the Ring,The Lord of the Rings: The Return of the King,Elijah Wood;Ian McKellen;Viggo Mortensen;Liv Tyler;Orlando Bloom,Peter Jackson,Peter Jackson;Philippa Boyens;Fran Walsh;J.R.R. Tolkien,Adventure;Fantasy;Action,elves;orcs;middle-earth (tolkien);based on novel;suspicion;volcano;giant spider;bravery;war;honor;troll;brutality;violence;ghost;quest;sword and sorcery,PG-13,English,$94000000.00,$1118888979.00,,,,
53,53,a3377,b2594,Les bronzés font du ski,Josiane Balasko;Michel Blanc;Marie-Anne Chazel;Christian Clavier;Gérard Jugnot,Patrice Leconte,Josiane Balasko;Michel Blanc,Comedy,skiing;group of friends;winter holiday;practical joke;le splendid,NOT RATED,French,,,,Trinacra Films,France,A bronzbarnák síelni mennek,French Fried Vacation 3,Josiane Balasko;Michel Blanc;Marie-Anne Chazel;Christian Clavier;Gérard Jugnot,Patrice Leconte,Marie-Anne Chazel;Josiane Balasko;Christian Clavier;Thierry Lhermitte;Michel Blanc;Gérard Jugnot,Comedy,,U,French,-,-,,,,
54,54,a149,b4949,Star Wars: Episode IV - A New Hope,Mark Hamill;Harrison Ford;Carrie Fisher;Peter Cushing;Alec Guinness,George Lucas,George Lucas,Action;Adventure;Fantasy;Sci-Fi,rebellion;empire;galactic war;princess;droid,PG,English,$11000000,$775398007,$1554475,Lucasfilm;Twentieth Century Fox,USA,A New Hope,Star Wars: Episode I - The Phantom Menace,Liam Neeson;Ewan McGregor;Natalie Portman;Jake Lloyd;Ian McDiarmid,George Lucas,George Lucas,Adventure;Action;Science Fiction,prophecy;senate;queen;taskmaster;galaxy;apprentice;taxes;space opera,PG,English,$115000000.00,$924317558.00,,,,
55,55,a521,b1190,Kung Fu Panda,Jack Black;Dustin Hoffman;Angelina Jolie;Ian McShane;Jackie Chan,Mark Osborne;John Stevenson,Jonathan Aibel;Glenn Berger,Animation;Action;Adventure;Comedy;Family;Fantasy,kung fu;anthropomorphic animal;china;martial arts;giant panda,PG,English,$130000000,$631744560,$60239130,DreamWorks Animation;Pacific Data Images (PDI),USA,Kung Fu Panda: The IMAX Experience,Kung Fu Panda 2,Jack Black;Angelina Jolie;Dustin Hoffman;Gary Oldman;Jackie Chan,Jennifer Yuh Nelson,Jonathan Aibel;Glenn Berger,Animation;Family,martial arts;hope;fleet;panda;mission;woman director,PG,English,$150000000.00,$665692281.00,,,,
56,56,a372,b5044,Star Wars: Episode III - Revenge of the Sith,Ewan McGregor;Natalie Portman;Hayden Christensen;Ian McDiarmid;Samuel L. Jackson,George Lucas,George Lucas,Action;Adventure;Fantasy;Sci-Fi,elongated cry of no;vision;robotic midwife;friends become enemies;kicked in the butt,PG-13,English,$113000000,$848754768,$108435841,Lucasfilm,USA,Revenge of the Sith,Star Wars: Episode II - Attack of the Clones,Ewan McGregor;Natalie Portman;Hayden Christensen;Ian McDiarmid;Samuel L. Jackson,George Lucas,George Lucas;Jonathan Hales,Adventure;Action;Science Fiction,senate;investigation;army;death star;jedi;cult figure;wedding;violence;kendo;laser gun;space opera;spaceport;teenage rebellion;good becoming evil;alien race;mechanical hand;yoda,PG,English,$120000000.00,$649398328.00,,,,
57,57,a216,b2871,Rocky,Sylvester Stallone;Talia Shire;Burt Young;Carl Weathers;Burgess Meredith,John G. Avildsen,Sylvester Stallone,Drama;Sport,boxer;1970s;boxing;training;philadelphia pennsylvania,PG,English,$960000,$225000000,$5000000,Chartoff-Winkler Productions,USA,Roki,Rocky II,Sylvester Stallone;Talia Shire;Burt Young;Carl Weathers;Burgess Meredith,Sylvester Stallone,Sylvester Stallone,Drama,transporter;coma;wife husband relationship;intensive care;hero;love of one's life;publicity;boxer;boxing match;training;world champion;victory;sport;hospital,PG,English,$7000000.00,$200182160.00,,,,
58,58,a216,b4215,Rocky,Sylvester Stallone;Talia Shire;Burt Young;Carl Weathers;Burgess Meredith,John G. Avildsen,Sylvester Stallone,Drama;Sport,boxer;1970s;boxing;training;philadelphia pennsylvania,PG,English,$960000,$225000000,$5000000,Chartoff-Winkler Productions,USA,Roki,Rocky V,Sylvester Stallone;Talia Shire;Burt Young;Sage Stallone;Burgess Meredith,John G. Avildsen,Sylvester Stallone,Drama,philadelphia;transporter;cataclysm;parent child relationship;trainer;restart;bankrupt;boxer;career;boxing match;training;world champion;challenger;street riots;sponsorship;challenge;champion;tax consultant;boxing school;praise;friendship;sport;father figure,PG-13,English,$42000000.00,$119946358.00,,,,
59,59,a376,b5449,Back to the Future Part II,Michael J. Fox;Christopher Lloyd;Lea Thompson;Thomas F. Wilson;Elisabeth Shue,Robert Zemeckis,Robert Zemeckis;Bob Gale,Adventure;Comedy;Sci-Fi,year 2015;second part;same actor playing two characters simultaneously on screen;alternate timeline;younger version of character,PG,English;Japanese,$40000000,$213500000,$27835125,Universal Pictures;Amblin Entertainment;U-Drive Productions,USA;Japan,Paradox,Back to the Future,Michael J. Fox;Christopher Lloyd;Lea Thompson;Crispin Glover;Thomas F. Wilson,Robert Zemeckis,Robert Zemeckis;Bob Gale,Adventure;Comedy;Science Fiction;Family,clock tower;car race;terrorist;delorean;lightning;guitar;plutonium;sports car;inventor;journey in the past;invention;time travel;race against time;partner;misfit;mad scientist;fish out of water;teenage love;destiny;hidden identity;odd couple;escapade;disorder;chases and races;love and romance;teenage life;misfit partners;changing the past or future;getting home,PG,English,$19000000.00,$381109762.00,,,,
60,60,a1320,b1574,The Silence,Ingrid Thulin;Gunnel Lindblom;Birger Malmsten;Håkan Jahnberg;Jörgen Lindström,Ingmar Bergman,Ingmar Bergman,Drama,room;train;illness;translator;hotel room,R,Swedish;English;German;French;Spanish,,,,Svensk Filmindustri (SF),Sweden,The Silence,Persona,Bibi Andersson;Liv Ullmann;Margaretha Krook;Gunnar Björnstrand;Jörgen Lindström,Ingmar Bergman,Ingmar Bergman,Drama,nurse;sex;confession;dream;nudity;chase;betrayal;blood;medical;patient;violence;silence;psychiatry;submerged;institution;persona;reflexive cinema,,Swedish,-,-,,,,
61,61,a216,b5322,Rocky,Sylvester Stallone;Talia Shire;Burt Young;Carl Weathers;Burgess Meredith,John G. Avildsen,Sylvester Stallone,Drama;Sport,boxer;1970s;boxing;training;philadelphia pennsylvania,PG,English,$960000,$225000000,$5000000,Chartoff-Winkler Productions,USA,Roki,Rocky III,Sylvester Stallone;Talia Shire;Burt Young;Carl Weathers;Burgess Meredith,Sylvester Stallone,Sylvester Stallone,Drama,transporter;trainer;boxer;dying and death;boxing match;comeback;training;world champion;challenger;rematch;defeat;victory;sport;revenge;fame;wealth,PG,English,$17000000.00,$270000000.00,,,,
62,62,a55,b4171,Ex Machina,Domhnall Gleeson;Alicia Vikander;Oscar Isaac;Sonoya Mizuno;Corey Johnson,Alex Garland,Alex Garland,Drama;Mystery;Sci-Fi;Thriller,artificial intelligence;turing test;robot human relationship;minimal cast;video surveillance,R,English,$15000000,$38978784,$250000,Universal Pictures International (UPI);Film4;DNA Films,UK,Ex_Machina,Ex Machina,Domhnall Gleeson;Alicia Vikander;Oscar Isaac;Sonoya Mizuno;Corey Johnson,Alex Garland,Alex Garland,Drama;Science Fiction,dancing;artificial intelligence;distrust;isolation;technology;manipulation;friendship;deception;laboratory;robot;power outage;surveillance camera;consciousness;existentialism;lockdown;philosophical;turing test;cybernetics;human android relationship,R,English,$15000000.00,$36869414.00,,,,
63,63,a27,b2953,Guardians of the Galaxy Vol. 2,Chris Pratt;Zoe Saldana;Dave Bautista;Vin Diesel;Bradley Cooper,James Gunn,James Gunn;Dan Abnett,Action;Adventure;Sci-Fi,demi god;mixtape;alien creature;marvel cinematic universe;raccoon,PG-13,English,$200000000,$863756051,$146510104,Marvel Studios;Walt Disney Pictures,USA;New Zealand;Canada,Guardians of the Galaxy 2,Guardians of the Galaxy,Chris Pratt;Zoe Saldana;Dave Bautista;Vin Diesel;Bradley Cooper,James Gunn,James Gunn;Nicole Perlman,Action;Science Fiction;Adventure,based on comic;spaceship;space;outer space;orphan;adventurer;aftercreditsstinger;duringcreditsstinger;marvel cinematic universe,PG-13,English,$170000000.00,$773328629.00,,,,
64,64,a162,b4657,Kill Bill: Vol. 1,Uma Thurman;Lucy Liu;Vivica A. Fox;Daryl Hannah;David Carradine,Quentin Tarantino,Quentin Tarantino;Quentin Tarantino,Action;Crime;Thriller,bride;revenge;sword;japan;martial arts,R,English;Japanese;French,$30000000,$180949045,$22089322,Miramax;A Band Apart;Super Cool ManChu,USA;Japan,Kill Bill,Kill Bill: The Whole Bloody Affair,Uma Thurman;Lucy Liu;Vivica A. Fox;Daryl Hannah;David Carradine,Quentin Tarantino,Quentin Tarantino,Crime;Action,sword;martial law;revenge;wedding,R,English,$30000000.00,-,,,,
65,65,a43,b5106,Guardians of the Galaxy,Chris Pratt;Zoe Saldana;Dave Bautista;Vin Diesel;Bradley Cooper,James Gunn,James Gunn;Nicole Perlman,Action;Adventure;Sci-Fi,bounty hunter;outer space;tree;heroes;talking animal,PG-13,English,$170000000,$774176600,$94320883,Marvel Studios;Marvel Enterprises;Moving Picture Company (MPC),USA,Full Tilt,Guardians of the Galaxy Vol. 2,Chris Pratt;Zoe Saldana;Dave Bautista;Vin Diesel;Bradley Cooper,James Gunn,James Gunn,Action;Adventure;Comedy;Science Fiction,sequel;superhero;based on comic;misfit;space;outer space;aftercreditsstinger;duringcreditsstinger,PG-13,English,$200000000.00,$863756051.00,,,,
66,66,a268,b4967,V for Vendetta,Natalie Portman;Hugo Weaving;Stephen Rea;Stephen Fry;John Hurt,James McTeigue,Lilly Wachowski;Lana Wachowski,Action;Drama;Sci-Fi;Thriller,dystopia;freedom;revolution;terrorist;justice,R,English,$54000000,$132511035,$25642640,Warner Bros.;Virtual Studios;Silver Pictures,USA;UK;Germany,V for Vendetta: The IMAX Experience,V for Vendetta,Natalie Portman;Hugo Weaving;Stephen Rea;Stephen Fry;John Hurt,James McTeigue,David Lloyd;Alan Moore;Lana Wachowski;Lilly Wachowski,Action;Thriller;Fantasy,detective;fascism;satanism;fascist;dystopia;government;chancellor;revenge;personification of satan;torture;occult;hatred;masked vigilante;vengeful spirit;activist;vengeful,,English,$54000000.00,$132511035.00,,,,
67,67,a87,b4344,War for the Planet of the Apes,Andy Serkis;Woody Harrelson;Steve Zahn;Karin Konoval;Amiah Miller,Matt Reeves,Mark Bomback;Matt Reeves,Action;Adventure;Drama;Sci-Fi;Thriller,ape;planet of the apes;third part;slave labour;battle,PG-13,English;American Sign Language,$150000000,$490664238,$56262929,Twentieth Century Fox;Chernin Entertainment;TSG Entertainment,USA;Canada;New Zealand,Planet of the Apes 3,Beneath the Planet of the Apes,James Franciscus;Kim Hunter;Maurice Evans;Linda Harrison;Charlton Heston,Ted Post,Mort Abrahams;Paul Dehn;Pierre Boileau,Adventure;Science Fiction;Mystery,mutant;dystopia;survivor;astronaut;ape;science;worship,G,English,$3000000.00,$18999718.00,,,,
68,68,a87,b4511,War for the Planet of the Apes,Andy Serkis;Woody Harrelson;Steve Zahn;Karin Konoval;Amiah Miller,Matt Reeves,Mark Bomback;Matt Reeves,Action;Adventure;Drama;Sci-Fi;Thriller,ape;planet of the apes;third part;slave labour;battle,PG-13,English;American Sign Language,$150000000,$490664238,$56262929,Twentieth Century Fox;Chernin Entertainment;TSG Entertainment,USA;Canada;New Zealand,Planet of the Apes 3,Rise of the Planet of the Apes,James Franco;Freida Pinto;John Lithgow;Brian Cox;Tom Felton,Rupert Wyatt,Rick Jaffa;Amanda Silver;Pierre Boulle,Thriller;Action;Drama;Science Fiction,intelligence;zoo;cage;dystopia;golden gate bridge;ape;monkey;medical research;alzheimer's disease,PG-13,English,$93000000.00,$482860185.00,,,,
69,69,a87,b5289,War for the Planet of the Apes,Andy Serkis;Woody Harrelson;Steve Zahn;Karin Konoval;Amiah Miller,Matt Reeves,Mark Bomback;Matt Reeves,Action;Adventure;Drama;Sci-Fi;Thriller,ape;planet of the apes;third part;slave labour;battle,PG-13,English;American Sign Language,$150000000,$490664238,$56262929,Twentieth Century Fox;Chernin Entertainment;TSG Entertainment,USA;Canada;New Zealand,Planet of the Apes 3,Conquest of the Planet of the Apes,Roddy McDowall;Don Murray;Ricardo Montalban;Hari Rhodes;Severn Darden,J. Lee Thompson,Paul Dehn,Action;Science Fiction,circus;pet;human being;dystopia;insurrection;army;ape,PG,English,$1700000.00,$9700000.00,,,,
70,70,a95,b2003,Frozen,Kristen Bell;Idina Menzel;Jonathan Groff;Josh Gad;Santino Fontana,Chris Buck;Jennifer Lee,Jennifer Lee;Hans Christian Andersen,Animation;Adventure;Comedy;Family;Fantasy;Musical,female protagonist;sister sister relationship;snowman;sister love;magic,PG,English;Norwegian,$150000000,$1276480335,$243390,Walt Disney Animation Studios;Walt Disney Pictures,USA,The Snow Queen,Frozen Fever,Kristen Bell;Idina Menzel;Jonathan Groff;Josh Gad;Chris Williams,Jennifer Lee;Chris Buck,,Adventure;Animation;Family,sibling relationship;birthday;song;birthday party;princess;snowman;animation;reindeer;birthday cake;frozen;woman director;birthday present;short,G,English,-,-,,,,
71,71,a95,b2180,Frozen,Kristen Bell;Idina Menzel;Jonathan Groff;Josh Gad;Santino Fontana,Chris Buck;Jennifer Lee,Jennifer Lee;Hans Christian Andersen,Animation;Adventure;Comedy;Family;Fantasy;Musical,female protagonist;sister sister relationship;snowman;sister love;magic,PG,English;Norwegian,$150000000,$1276480335,$243390,Walt Disney Animation Studios;Walt Disney Pictures,USA,The Snow Queen,Frozen,Emma Bell;Shawn Ashmore;Kevin Zegers;Ed Ackerman;Rileah Vanderbilt,Adam Green,Adam Green,Thriller,loss of loved one;mountain;winter;wolf;conversation;animal attack;cold;horror;fall from height;suspense;snow;best friend;ski lift;frostbite,R,English,-,$3065860.00,,,,
72,72,a97,b552,Harry Potter and the Deathly Hallows: Part 2,Ralph Fiennes;Michael Gambon;Alan Rickman;Daniel Radcliffe;Rupert Grint,David Yates,Steve Kloves;J.K. Rowling,Adventure;Drama;Fantasy;Mystery,ginny weasley character;remus lupin character;lucius malfoy character;professor severus snape character;draco malfoy character,PG-13,English,$125000000,$1341511219,$169189427,Warner Bros.;Heyday Films;Moving Picture Company (MPC),USA;UK,Harry Potter and the Deathly Hallows: Part 2 3D,Harry Potter and the Goblet of Fire,Daniel Radcliffe;Rupert Grint;Emma Watson;Ralph Fiennes;Michael Gambon,Mike Newell,Steve Kloves;J.K. Rowling,Adventure;Fantasy;Family,magic;dying and death;broom;sorcerer's apprentice;school of witchcraft;chosen one;black magic;boarding school;vision;tournament;teenager;wizard;teenage hero;based on young adult novel,PG-13,English,$150000000.00,$895921036.00,,,,
73,73,a97,b1366,Harry Potter and the Deathly Hallows: Part 2,Ralph Fiennes;Michael Gambon;Alan Rickman;Daniel Radcliffe;Rupert Grint,David Yates,Steve Kloves;J.K. Rowling,Adventure;Drama;Fantasy;Mystery,ginny weasley character;remus lupin character;lucius malfoy character;professor severus snape character;draco malfoy character,PG-13,English,$125000000,$1341511219,$169189427,Warner Bros.;Heyday Films;Moving Picture Company (MPC),USA;UK,Harry Potter and the Deathly Hallows: Part 2 3D,Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe;Rupert Grint;Emma Watson;Gary Oldman;David Thewlis,Alfonso Cuarón,Steve Kloves;J.K. Rowling,Adventure;Fantasy;Family,flying;traitor;magic;cutting the cord;child hero;broom;sorcerer's apprentice;school of witchcraft;griffon;black magic;time travel;best friend;werewolf;dark;muggle;aftercreditsstinger,PG,English,$130000000.00,$789804554.00,,,,
74,74,a97,b3595,Harry Potter and the Deathly Hallows: Part 2,Ralph Fiennes;Michael Gambon;Alan Rickman;Daniel Radcliffe;Rupert Grint,David Yates,Steve Kloves;J.K. Rowling,Adventure;Drama;Fantasy;Mystery,ginny weasley character;remus lupin character;lucius malfoy character;professor severus snape character;draco malfoy character,PG-13,English,$125000000,$1341511219,$169189427,Warner Bros.;Heyday Films;Moving Picture Company (MPC),USA;UK,Harry Potter and the Deathly Hallows: Part 2 3D,Harry Potter and the Half-Blood Prince,Daniel Radcliffe;Rupert Grint;Emma Watson;Tom Felton;Michael Gambon,David Yates,Steve Kloves;J.K. Rowling,Adventure;Fantasy;Family,witch;magic;broom;school of witchcraft;apparition;teenage crush;werewolf;wizard,PG,English,$250000000.00,$933959197.00,,,,
