Title|User Score|Director|Screenplay|Top Billed Cast|Release Date|Content Rating|Genres|Keywords|Revenue|Original Language|Runtime|Budget|Homepage
Never Been Kissed|59.0|Raja Gosnell|Marc Silverstein,Abby Kohn|Drew Barrymore,David Arquette,Michael Vartan,Molly Shannon,Jenny Bicks|1999|100|Romance,Comedy,Drama|chicago,journalist,newspaper,undercover,entrapment,kiss,nerd,high school,party,love,prank,prom,reporter,teenager,humiliation,editor|$84,565,230.00|English|1h 47m|$25,000,000.00|-
Igor|55.0|Anthony Leondis|Anthony Leondis,Chris McKenna,Dimitri Toscas,John Robert Hoffman|John Cusack,Myleene Klass,Robin Walsh,Matt McKenna,John Cleese|2008|100|Animation,Comedy,Family,Fantasy|experiment,evil genius|$30,000,000.00|English|1h 27m|$25,000,000.00|-
Harold & Kumar Escape from Guantanamo Bay|61.0|Hayden Schlossberg,Jon Hurwitz|Hayden Schlossberg,Jon Hurwitz|John Cho,Kal Penn,Neil Patrick Harris,Rob Corddry,Jack Conley|2008|100|Comedy,Adventure|terrorist,aftercreditsstinger,duringcreditsstinger|$43,493,123.00|English|1h 47m|$12,000,000.00|http://www.haroldandkumar.com
People Like Us|67.0|Alex Kurtzman|Alex Kurtzman,Jody Lambert,Roberto Orci|Chris Pine,Elizabeth Banks,Olivia Wilde,Michelle Pfeiffer,Mark Duplass|2012|100|Drama|duringcreditsstinger|$12,434,778.00|English|1h 54m|$16,000,000.00|-
Field of Dreams|71.0|Phil Alden Robinson|Phil Alden Robinson|Kevin Costner,Amy Madigan,Gaby Hoffmann,Ray Liotta,Timothy Busfield|1989|100|Drama,Fantasy|regret,based on novel,baseball,iowa,miracle,farm,sport,road trip,author,doctor,cornfield,recluse,pta,ghost,reconciliation,hearing voices,school board|$84,431,625.00|English|1h 47m|-|-
The Smurfs|55.0|Raja Gosnell|David N. Weiss,J. David Stem,Jay Scherick,David Ronn|Hank Azaria,Neil Patrick Harris,Jayma Mays,Sofía Vergara,Tim Gunn|2011|100|Animation,Family,Adventure,Comedy,Fantasy|moon,magic,based on comic,animation,good vs evil,smurf,blue,vortex,mischief,cat and mouse,duringcreditsstinger,3d|$563,749,323.00|English|1h 43m|$110,000,000.00|http://www.smurfhappens.com/
Backtrack|57.0|Michael Petroni||Adrien Brody,Sam Neill,Bruce Spence,Robin McLeavy,Jenni Baird|2015|100|Horror,Mystery||-|English|1h 30m|-|-
The Rocker|57.0|Peter Cattaneo|Maya Forbes,Wallace Wolodarsky|Rainn Wilson,Josh Gad,Christina Applegate,Emma Stone,Teddy Geiger|2008|100|Comedy,Music|1970s,drums,groupie,musical,rock,heavy metal,headbanging|$8,762,890.00|English|1h 42m|$15,000,000.00|http://www.rockermovie.com
Jack and the Cuckoo-Clock Heart|68.0|Mathias Malzieu,Stéphane Berla||Mathias Malzieu,Olivia Ruiz,Grand Corps Malade,Jean Rochefort,Emily Loizeau|2013|100|Animation,Romance,Adventure,Drama,Fantasy|musical|-|French|1h 34m|$33.00|-
Zombieland|72.0|Ruben Fleischer||Jesse Eisenberg,Woody Harrelson,Emma Stone,Abigail Breslin,Amber Heard|2009|100|Comedy,Horror|sibling relationship,washington d.c.,post-apocalyptic,road trip,blood splatter,parody,survival,zombie,violence,survival horror,amusement park,twinkie,body count,zombification,disposing of a dead body,loner,aftercreditsstinger,zombie apocalypse,fear of clowns|$102,391,382.00|English|1h 28m|$23,600,000.00|http://www.zombieland.com/
Envy|47.0|Barry Levinson|Steve Adams|Ben Stiller,Jack Black,Rachel Weisz,Christopher Walken,Amy Poehler|2004|100|Comedy|jealousy,inventor,neighbor,best friend,milliionaire,dog,envy,golden egg|-|English|1h 39m|$40,000,000.00|-
Invasion of the Body Snatchers|74.0|Don Siegel|Richard Collins,Daniel Mainwaring|Kevin McCarthy,Dana Wynter,King Donovan,Carolyn Jones,Larry Gates|1956|100|Horror,Science Fiction|based on novel,small town,alien,doctor,patient,alien invasion,psychiatrist,alien infection,angry mob,doppelganger,mystery writer,emotionless,paranoid,abandoned mine,personality change|-|English|1h 20m|$417,000.00|-
In the House|73.0|François Ozon|François Ozon|Fabrice Luchini,Kristin Scott Thomas,Emmanuelle Seigner,Denis Ménochet,Jean-François Balmer|2012|100|Comedy,Drama,Mystery,Thriller|high school,teen angst,homosexuality,teacher,school,writer,teenager,teacher student relationship,lgbt,homework|$11,879,046.00|French|1h 45m|-|-
Murder by Numbers|61.0|Barbet Schroeder|Tony Gayton|Sandra Bullock,Ben Chaplin,Ryan Gosling,Michael Pitt,Agnes Bruckner|2002|100|Crime,Drama,Thriller|detective,secret,fbi,homicide,evidence,nerd,vice,intellectual,high school,partner,murder,rich,forensic|$56,714,147.00|English|2h 0m|$50,000,000.00|-
Red State|59.0|Kevin Smith|Kevin Smith|Michael Parks,John Goodman,Melissa Leo,Michael Angarano,Kyle Gallner|2011|100|Horror,Action,Thriller|christianity,homophobia,pastor,protest,christian,sign,gay interest,social commentary,religious fundamentalism,aftercreditsstinger,duringcreditsstinger|$1,104,682.00|English|1h 28m|$4,000,000.00|-
Night Train to Lisbon|65.0|Bille August||Jeremy Irons,Mélanie Laurent,Jack Huston,Martina Gedeck,Charlotte Rampling|2013|100|Mystery,Romance,Thriller|train station,loneliness|-|English|1h 51m|$7,700,000.00|http://www.nighttrain-film.com/
Cube|69.0|Vincenzo Natali|Vincenzo Natali,Graeme Manson,André Bijelic|Nicole de Boer,Nicky Guadagni,David Hewlett,Andrew Miller,Julian Richings|1997|100|Thriller,Science Fiction,Mystery|riddle,autism,claustrophobia,maze,prime number,entrapment,mathematics,murder,escape,violence,numbers,canuxploitation|$501,818.00|English|1h 30m|$250,000.00|-
Harry Potter and the Goblet of Fire|76.0|Mike Newell|Steve Kloves|Daniel Radcliffe,Rupert Grint,Emma Watson,Ralph Fiennes,Michael Gambon|2005|100|Adventure,Fantasy,Family|magic,dying and death,broom,sorcerer's apprentice,school of witchcraft,chosen one,black magic,boarding school,vision,tournament,teenager,wizard,teenage hero,based on young adult novel|$895,921,036.00|English|2h 37m|$150,000,000.00|http://harrypotter.warnerbros.com/
Bad Taste|64.0|Peter Jackson|Peter Jackson|Terry Potter,Pete O'Herne,Craig Smith,Mike Minett,Peter Jackson|1987|100|Action,Comedy,Horror,Science Fiction|new zealand,collector,gore,chainsaw,cult film,fast food,testosterone|-|English|1h 31m|$25,710.00|-
War|60.0|Philip G. Atwell||Jet Li,Jason Statham,John Lone,Devon Aoki,Luis Guzmán|2007|100|Action,Thriller,Crime|fbi,revenge,fbi agent|$40,452,643.00|English|1h 43m|$25,000,000.00|-
The Invisible|60.0|David S. Goyer|Mick Davis,Christine Roum|Justin Chatwin,Margarita Levieva,Marcia Gay Harden,Chris Marquette,Callum Keith Rennie|2007|100|Crime,Drama,Fantasy,Mystery,Thriller|high school,remake,student,teenager,out of body experience,school life|$26,810,113.00|English|1h 42m|$30,000,000.00|-
Turbo|61.0|David Soren|David Soren,Darren Lemke ,Robert D. Siegel|Ryan Reynolds,Paul Giamatti,Michael Peña,Samuel L. Jackson,Luis Guzmán|2013|100|Animation,Family|underdog,car race,dream,speed,power,snail,fast,friends,talking animal,super power,racer|$282,570,682.00|English|1h 36m|$135,000,000.00|http://www.turbomovie.com/
Bachelor Party|58.0|Neal Israel|Neal Israel,Bob Israel,Pat Proft|Tom Hanks,Tawny Kitaen,Adrian Zmed,George Grizzard,Barbara Stuart|1984|100|Comedy|bachelor,loyalty,donkey,stag night,party,wedding|$38,435,947.00|English|1h 45m|$6,000,000.00|-
Friend Request|54.0|Simon Verhoeven|Simon Verhoeven,Matthew Ballen,Philip Koch|Alycia Debnam-Carey,William Moseley,Connor Paolo,Brit Morgan,Sean Marquette|2016|100|Horror,Thriller|college,internet,vengeful ghost,social network,social outcast,young adult,college student,facebook|$2,400,000.00|English|1h 32m|$9,900,000.00|http://www.w-b-film.de/
Ratchet & Clank|55.0|Kevin Munroe,Jericca Cleland||James Arnold Taylor,David Kaye,Armin Shimerman,Sylvester Stallone,Rosario Dawson|2016|100|Action,Adventure,Animation,Family|saving the world,extraterrestrial technology,spaceship,alien,comedy,furry,best friend,robot,based on video game,woman director,wacky gadgets,spaceship mechanic|$8,821,329.00|English|1h 34m|$20,000,000.00|http://www.ratchetandclankmovie.com
The Girl Next Door|63.0|Luke Greenfield||Emile Hirsch,Elisha Cuthbert,Timothy Olyphant,James Remar,Chris Marquette|2004|100|Comedy|porn actor,pornographic video,high school,school party,blonde,girl next door|-|English|1h 48m|$10,000,000.00|-
Quarantine 2: Terminal|49.0|John Pogue||Mercedes Mason,Mattie Liptak,Josh Cooke,Noree Victoria,Ignacio Serricchio|2011|100|Horror,Mystery,Science Fiction||-|English|1h 26m|$4,000,000.00|-
School of Rock|68.0|Richard Linklater|Mike White|Jack Black,Joan Cusack,Mike White,Sarah Silverman,Adam Pascal|2003|100|Comedy,Music|rock and roll,rock,high school,music band|$131,282,949.00|English|1h 49m|$35,000,000.00|http://www.schoolofrockmovie.com/
The Others|74.0|Alejandro Amenábar||Nicole Kidman,Christopher Eccleston,Alakina Mann,James Bentley,Eric Sykes|2001|100|Horror,Drama,Mystery,Thriller|nanny,haunted house,channel islands,parallel world,photosensitivity,spiritism|-|English|1h 41m|-|-
Midnight Special|63.0|Jeff Nichols|Jeff Nichols|Michael Shannon,Jaeden Lieberher,Joel Edgerton,Kirsten Dunst,Adam Driver|2016|100|Adventure,Drama,Science Fiction|helicopter,parent child relationship,gas station,hostage,fbi,motel,chase,meteor,government,on the run,shootout,military,child kidnapping,religious sect,goggles|$6,212,282.00|English|1h 52m|$18,000,000.00|http://www.midnightspecialmovie.com/
In a World...|63.0|Lake Bell||Lake Bell,Fred Melamed,Michaela Watkins,Ken Marino,Demetri Martin|2013|100|Comedy|parent child relationship,narration,voice over,woman director,voice acting|$2,963,902.00|English|1h 33m|$1,000,000.00|http://inaworldmovie.com/
Moonraker|60.0|Lewis Gilbert|Christopher Wood|Roger Moore,Lois Chiles,Michael Lonsdale,Corinne Cléry,Richard Kiel|1979|100|Action,Adventure,Thriller,Science Fiction|venice,mass murder,space marine,space suit,marcus square,space battle,secret base,laser,utopia,space travel,boat chase,astronaut,british secret service,weightlessness|$210,308,099.00|English|2h 6m|$34,000,000.00|http://www.mgm.com/view/movie/1292/Moonraker/
Edward Scissorhands|76.0|Tim Burton|Caroline Thompson|Johnny Depp,Winona Ryder,Dianne Wiest,Alan Arkin,Anthony Michael Hall|1990|100|Fantasy,Drama,Romance|underdog,love at first sight,hairdresser,small town,scissors,inventor,burglar,unsociability|$53,000,000.00|English|1h 45m|$20,000,000.00|-
The Love Bug|61.0|Robert Stevenson|Don DaGradi,Bill Walsh|Dean Jones,Michele Lee,Buddy Hackett,Joe Flynn,Benson Fong|1968|100|Comedy,Family,Fantasy|car race,suicide attempt,sport,golden gate bridge,racecar driver,bug,car,cult film,car trouble,automobile racing,volkswagen beetle,dual role,ghost town,animate car,smart car,entrepreneur,toll booth,the love bug|-|English|1h 47m|-|-
Cinderella III: A Twist in Time|60.0|Frank Nissen|Colleen Millea Ventimilia,Margaret Heidenry,Eddie Guzelian,Dan Berendsen|Jennifer Hale,Susanne Blakeslee,Tress MacNeille,Christopher Daniel Barnes,Andre Stojka|2007|100|Animation,Romance,Family,Fantasy|cinderella,magic,fairy,prince,musical,sequel,fairy godmother|-|English|1h 14m|$8,000,000.00|http://movies.disney.com/cinderella-3-a-twist-in-time
The Visitors: Bastille Day|39.0|Jean-Marie Poiré||Jean Reno,Christian Clavier,Franck Dubosc,Karin Viard,Sylvie Testud|2016|100|Comedy|nazis,castle,time travel,robespierre|-|French|1h 50m|$25,868,826.00|-
Return to the Blue Lagoon|52.0|William A. Graham||Milla Jovovich,Brian Krause,Lisa Pelikan,Courtney Barilla,Garette Ratliff Henson|1991|100|Adventure|island,marooned,pacific island,teenager,deserted island,tropical island|$2,807,854.00|English|1h 38m|$11,000,000.00|-
Timecrimes|70.0|Nacho Vigalondo||Karra Elejalde,Candela Fernández,Bárbara Goenaga,Nacho Vigalondo,Juan Inciarte|2007|100|Science Fiction,Thriller|scissors,radio,bicycle,time travel,woods,surrealism,independent film,car accident,scientist,machine,binoculars,injury,voyeur,loop|$553,198.00|Spanish|1h 32m|$2,600,000.00|http://www.cronocrimenes.com/
Look Who's Back|68.0|David Wnendt||Oliver Masucci,Fabian Busch,Katja Riemann,Christoph Maria Herbst,Franziska Wulf|2015|93|Comedy||$25,513,752.00|German|1h 56m|$3,196,621.00|-
Hidalgo|65.0|Joe Johnston|John Fusco|Viggo Mortensen,Zuleikha Robinson,Omar Sharif,Adam Alexi-Malle,Louise Lombard|2004|100|Western,Adventure|horse race,horse,racehorse|$108,103,450.00|English|2h 16m|$100,000,000.00|-
All Three of Us|78.0|Kheiron||Kheiron,Leïla Bekhti,Gérard Darmon,Zabou Breitman,Alexandre Astier|2015|93|Drama,Comedy||-|French|-|-|-
Zookeeper|53.0|Frank Coraci|Nick Bakay,Kevin James|Kevin James,Rosario Dawson,Sylvester Stallone,Nick Nolte,Jon Favreau|2011|100|Comedy,Romance,Family|zoo,talking animal,zookeeper,scientist,ostrich,monkey,bullfrog,car dealership,duringcreditsstinger|$169,852,759.00|English|1h 42m|$80,000,000.00|http://www.zookeeper-movie.com/
Molly's Game|69.0|Aaron Sorkin||Jessica Chastain,Idris Elba,Kevin Costner,Michael Cera,Jeremy Strong|2017|100|Crime,Drama|poker,olympic games,biography,court,based on true story,lawyer,skiing,card playing,high stakes,court room,father daughter relationship|$27,452,703.00|English|2h 20m|$30,000,000.00|http://mollysgame.movie/
The ABCs of Death|48.0|Jon Schnepp,Kaare Andrews,Lee Hardcastle,Simon Rumley,Nacho Vigalondo,Yudai Yamaguchi,Adrián García Bogliano,Srđan Spasojević,Yoshihiro Nishimura,Ti West,Bruno Forzani,Jake West,Hélène Cattet,Noboru Iguchi,Jorge Michel Grau,Timo Tjahjanto,Thomas Cappelen Malling,Jason Eisener,Ben Wheatley,Ernesto Díaz Espinoza,Adam Wingard,Marcel Sarmiento,Banjong Pisanthanakun,Andrew Traucki,Angela Bettis,Anders Morgenthaler,Xavier Gens||Ingrid Bolsø Berdal,Erik Aude,Iván González,Kyra Zagorsky,Peter Pedrero|2013|100|Horror|woman director,alphabet,horror anthology|$21,660.00|English|2h 3m|-|-
Freaky Friday|61.0|Mark Waters|Heather Hach,Leslie Dixon|Jamie Lee Curtis,Lindsay Lohan,Mark Harmon,Harold Gould,Haley Hudson|2003|100|Comedy|sibling relationship,single parent,parent child relationship,mistake in person,bride,talk show,body exchange,motherly love,high school,wedding,psychiatrist,body-swap,music band,teen comedy,child as an adult,adult as a child|$110,230,332.00|English|1h 37m|$26,000,000.00|-
Rush Hour|67.0|Brett Ratner|Ross LaManna,Jim Kouf|Jackie Chan,Chris Tucker,Ken Leung,Tom Wilkinson,Tzi Ma|1998|100|Action,Comedy,Crime,Thriller|two man army,consul,crime lord,art treasures,reference to chelsea clinton,roses are red poem,duringcreditsstinger|$244,386,864.00|English|1h 38m|$33,000,000.00|-
Keith|72.0|Todd Kessler|David Zabel|Elisabeth Harnois,Ignacio Serricchio,Jennifer Grey,Jesse McCartney|2008|100|Drama,Family,Romance|high school,cancer,independent film,teenager,teenage romance|-|English|1h 33m|-|-
The Whole Ten Yards|55.0|Howard Deutch|George Gallo|Bruce Willis,Matthew Perry,Amanda Peet,Kevin Pollak,Frank Collison|2004|100|Comedy,Thriller,Crime|hitman|$26,155,781.00|English|1h 38m|$40,000,000.00|-
Escape from L.A.|57.0|John Carpenter|John Carpenter,Kurt Russell,Debra Hill|Kurt Russell,Stacy Keach,Steve Buscemi,Pam Grier,Cliff Robertson|1996|100|Action,Adventure,Science Fiction,Thriller|prison,usa president,earthquake,dystopia,attempt to escape,los angeles,reluctant hero|$42,277,365.00|English|1h 37m|$50,000,000.00|http://www.theofficialjohncarpenter.com/escape-from-la/
Knight and Day|60.0|James Mangold||Tom Cruise,Cameron Diaz,Peter Sarsgaard,Viola Davis,Jordi Mollà|2010|100|Action,Comedy|spy,airport,gas station,garage,pilot,chase,secret agent,rope,exploding building,car chase,police car,boy genius,duringcreditsstinger|$261,930,431.00|English|1h 49m|$117,000,000.00|http://www.knightanddaymovie.com
A Tale of Two Sisters|70.0|Kim Jee-woon|Kim Jee-woon|Im Soo-jung,Yum Jung-ah,Moon Geun-Young,Kim Kap-soo,Park Mi-Hyeon|2003|100|Drama,Horror,Mystery|loss of loved one,amnesia,step mother,sister,tragedy,vengeful ghost|-|Korean|1h 55m|-|-
Into the Wild|78.0|Sean Penn|Sean Penn|Emile Hirsch,Marcia Gay Harden,William Hurt,Jena Malone,Brian H. Dierker|2007|100|Adventure,Drama|parent child relationship,camping,cutting the cord,self-discovery,wilderness,biography,based on true story,alaska,journey|$56,255,142.00|English|2h 28m|$15,000,000.00|http://www.intothewild.com/
Crank: High Voltage|59.0|Mark Neveldine,Brian Taylor|Mark Neveldine,Brian Taylor|Jason Statham,Amy Smart,Dwight Yoakam,Efren Ramirez,Julanne Chidi Hill|2009|100|Action,Thriller,Crime|prostitute,horse race,heart,strip club,electric shock,godzilla,sequel,tourette syndrome,gang,shootout,public sex,cigarette smoking,mansion,foot chase,surgery,taser,duringcreditsstinger,flashback,absurdism,ultraviolence|$34,560,577.00|English|1h 36m|$20,000,000.00|http://www.crank2.com/
Lethal Weapon 2|67.0|Richard Donner|Jeffrey Boam|Mel Gibson,Danny Glover,Joe Pesci,Joss Ackland,Derrick O'Connor|1989|100|Action,Adventure,Comedy,Crime,Thriller|loss of loved one,gang,police detective,buddy cop,diplomatic immunity,lapd|$227,853,986.00|English|1h 54m|$25,000,000.00|-
Cloverfield|65.0|Matt Reeves|Drew Goddard|Michael Stahl-David,T.J. Miller,Lizzy Caplan,Jessica Lucas,Odette Annable|2008|100|Action,Thriller,Science Fiction|usa,helicopter,monster,skyscraper,fight,camcorder,panic,chaos,supernatural,quarantine,friends,alien,rescue,survival,disaster,escape,giant monster,kaiju,military,found footage,aftercreditsstinger|$170,764,026.00|English|1h 25m|$25,000,000.00|http://www.cloverfieldmovie.com/
Dreamgirls|66.0|Bill Condon|Bill Condon|Eddie Murphy,Jennifer Hudson,Beyoncé Knowles,Jamie Foxx,Danny Glover|2006|100|Drama|music record,manager,black people,adultery,soul,show business,drug addiction,musical,deceived wife,recording contract,background singer,motown,the supremes,record producer,single,singer,singing,detroit,alcoholic,extramarital affair,music band|$154,937,680.00|English|2h 14m|$70,000,000.00|http://www.dreamgirlsmovie.com/
Fright Night|60.0|Craig Gillespie|Marti Noxon|Anton Yelchin,Colin Farrell,Toni Collette,Christopher Mintz-Plasse,David Tennant|2011|100|Horror,Comedy|sunrise,vampire,suspicion,remake,suburbia|$24,922,237.00|English|1h 46m|$17,000,000.00|http://www.welcometofrightnight.com
The Scorpion King|53.0|Chuck Russell|Stephen Sommers,William Osborne,David Hayter|Dwayne Johnson,Kelly Hu,Michael Clarke Duncan,Steven Brand,Bernard Hill|2002|100|Action,Fantasy,Adventure|egypt,temple|$165,333,180.00|English|1h 32m|$60,000,000.00|http://www.the-scorpion-king.com/
Le Chef|58.0|Daniel Cohen||Jean Reno,Michaël Youn,Raphaëlle Agogué,Julien Boisselier,Salomé Stévenin|2012|100|Comedy||$306,724.00|French|1h 24m|-|http://www.gaumont.fr/
Ong-Bak: The Thai Warrior|70.0|Prachya Pinkaew|Suphachai Sittiaumponpan|Tony Jaa,Petchtai Wongkamlao,Pumwaree Yodkamol,Suchao Pongwilai,Chumphorn Thepphithak|2003|100|Action,Thriller|martial arts,thailand,scuplture,fighter,fate|$20,112,926.00|Thai|1h 45m|-|-
Jack Reacher: Never Go Back|54.0|Edward Zwick|Edward Zwick,Richard Wenk,Marshall Herskovitz|Tom Cruise,Cobie Smulders,Aldis Hodge,Danika Yarosh,Patrick Heusinger|2016|100|Action|based on novel,homicide,sequel,false accusations,false accusation of murder|$162,146,076.00|English|1h 58m|$60,000,000.00|http://www.jackreachermovie.com/
Step Up|67.0|Anne Fletcher|Duane Adler,Melissa Rosenberg|Channing Tatum,Jenna Dewan,Damaine Radcliff,De'Shawn Washington,Mario|2006|100|Music,Drama,Romance,Crime|dancing,new love,dance,baltimore,art school,woman director|$114,194,847.00|English|1h 44m|$12,000,000.00|-
Alpha and Omega|53.0|Ben Gluck,Anthony Bell|Chris Denk|Hayden Panettiere,Justin Long,Dennis Hopper,Christina Ricci,Danny Glover|2010|100|Animation,Family,Comedy,Adventure,Romance|wolf,arranged marriage,forbidden love,road trip,park,park ranger,howling,social status,3d|$50,500,000.00|English|1h 28m|$20,000,000.00|http://alphaandomega3d.com/index.html
Surrogates|59.0|Jonathan Mostow||Bruce Willis,Radha Mitchell,Rosamund Pike,James Cromwell,Ving Rhames|2009|100|Action,Science Fiction,Thriller|clone,future,dystopia,murder,robot|$122,444,772.00|English|1h 29m|$80,000,000.00|http://chooseyoursurrogate.com/
Labor Day|67.0|Jason Reitman|Jason Reitman|Josh Brolin,Kate Winslet,Gattlin Griffith,Tobey Maguire,Tom Lipinski|2013|100|Drama|escaped convict,depressed mom|$20,275,812.00|French|1h 51m|$18,000,000.00|-
Inception|82.0|Christopher Nolan|Christopher Nolan|Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,Ken Watanabe|2010|100|Action,Thriller,Science Fiction,Mystery,Adventure|paris,philosophy,hotel,virtual reality,car crash,rescue,mission,los angeles,dream world|$825,532,764.00|English|2h 28m|$160,000,000.00|http://inceptionmovie.warnerbros.com/
Last Shift|57.0|Anthony DiBlasi||Juliana Harkavy,Joshua Mikel,J. Larose,Natalie Victoria,Sarah Sculco|2014|100|Horror,Thriller|mask,telephone,supernatural,hell,cop,female protagonist,police station,hanging,rookie cop,jail cell,cult leader|-|English|1h 28m|-|-
The Mission|72.0|Roland Joffé|Robert Bolt|Robert De Niro,Jeremy Irons,Ray McAnally,Aidan Quinn,Liam Neeson|1986|100|Adventure,Drama,Action,History|christianity,brazil,waterfall,mission,argentina,jungle,colonisation,south america,spanish,18th century,indigenous peoples,assimilation,jesuit priest|$17,218,023.00|English|2h 6m|$24,500,000.00|-
Knight of Cups|56.0|Terrence Malick||Christian Bale,Cate Blanchett,Natalie Portman,Brian Dennehy,Antonio Banderas|2015|100|Romance,Drama|celebrity,money,temptation,wealthy man,excess|$566,006.00|English|1h 58m|-|http://www.theknightofcupsmovie.com/
Phenomena|67.0|Dario Argento|Dario Argento,Franco Ferrini|Jennifer Connelly,Donald Pleasence,Daria Nicolodi,Patrick Bauchau,Fiore Argento|1985|100|Horror,Thriller|detective,daughter,psychopath,revenge,murder,school,doctor,maniac,chimpanzee,sleepwalking,insects,sanitorium,swiss|-|English|1h 56m|$3,800,000.00|-
54|55.0|Mark Christopher||Ryan Phillippe,Salma Hayek,Breckin Meyer,Mike Myers,Neve Campbell|1998|100|Drama,Music|new york,sex,1970s,nightclub,bartender,money,drug,disco|$16,757,163.00|English|1h 46m|$13,000,000.00|-
A Very Murray Christmas|53.0|Sofia Coppola||Bill Murray,Paul Shaffer,George Clooney,Miley Cyrus,Michael Cera|2015|100|Comedy,Music|woman director,christmas|-|English|0h 56m|-|http://www.netflix.com/title/80042368
Point Break|56.0|Ericson Core|Kurt Wimmer|Edgar Ramírez,Luke Bracey,Teresa Palmer,Delroy Lindo,Ray Winstone|2015|100|Action,Crime,Thriller|undercover,undercover agent,extreme sports,fbi agent,3d|$133,718,711.00|English|1h 54m|$105,000,000.00|https://www.facebook.com/PointBreakMovie
So I Married an Axe Murderer|61.0|Thomas Schlamme|Robbie Fox|Mike Myers,Nancy Travis,Anthony LaPaglia,Amanda Plummer,Brenda Fricker|1993|100|Comedy,Crime,Romance|scotland,butcher,sister,murder,axe murder|$11,585,483.00|English|1h 33m|$20,000,000.00|-
Hick|57.0|Derick Martini||Chloë Grace Moretz,Blake Lively,Eddie Redmayne,Alec Baldwin,Juliette Lewis|2011|100|Comedy,Drama|child abandonment,duringcreditsstinger|-|English|1h 39m|-|-
Love at First Fight|63.0|Thomas Cailley||Adèle Haenel,Kevin Azais,Antoine Laurent,Brigitte Roüan,William Lebghil|2014|100|Comedy,Romance|france,training camp,forest,survivalist,military,young adult|$23,598.00|French|1h 38m|-|-
A Bigger Splash|62.0|Luca Guadagnino|David Kajganich|Tilda Swinton,Matthias Schoenaerts,Ralph Fiennes,Dakota Johnson,Aurore Clément|2015|100|Crime,Drama,Mystery,Thriller|italy,fish,rock star,vacation,rock concert|$7,545,758.00|English|2h 0m|-|-
Un boss in salotto|59.0|Luca Miniero|Luca Miniero|Rocco Papaleo,Paola Cortellesi,Luca Argentero,Saul Nanni,Lavinia De' Cocci|2014|86|Comedy||-|Italian|-|-|-
Miami Vice|57.0|Michael Mann||Jamie Foxx,Colin Farrell,Gong Li,Luis Tosar,Naomie Harris|2006|100|Action,Adventure,Crime,Thriller|miami,florida,based on tv series,drug deal,havana cuba,speedboat |$163,794,509.00|English|2h 14m|$135,000,000.00|-
Independence Day: Resurgence|50.0|Roland Emmerich|Roland Emmerich,Dean Devlin,James A. Woods,Nicolas Wright,James Vanderbilt|Liam Hemsworth,Jeff Goldblum,Bill Pullman,Maika Monroe,Sela Ward|2016|100|Action,Adventure,Science Fiction|usa,alien,alternate history,alien invasion|$389,681,935.00|English|2h 0m|$165,000,000.00|http://www.warof1996.com
A Single Man|73.0|Tom Ford|Tom Ford,David Scearce|Colin Firth,Julianne Moore,Nicholas Hoult,Matthew Goode,Jon Kortajarena|2009|100|Romance|gay,based on novel,suicidal,death of lover,teacher student relationship,grieving,1960s|$24,964,890.00|English|1h 41m|$7,000,000.00|http://www.asingleman-movie.com/
The Best Exotic Marigold Hotel|69.0|John Madden|Ol Parker|Bill Nighy,Maggie Smith,Tom Wilkinson,Judi Dench,Dev Patel|2011|100|Drama,Comedy|hotel,based on novel,asia,india,ensemble cast,elderly,jaipur india,personal growth,outsourcing|$136,836,156.00|English|2h 4m|$10,000,000.00|http://www.foxsearchlight.com/thebestexoticmarigoldhotel/
Laggies|61.0|Lynn Shelton|Andrea Seigel|Keira Knightley,Chloë Grace Moretz,Sam Rockwell,Kaitlyn Dever,Ellie Kemper|2014|100|Comedy,Romance|parent child relationship,friendship,coming of age,female protagonist,mumblecore,woman director,young women|$1,066,981.00|English|1h 40m|-|-
Wrong Turn 2: Dead End|55.0|Joe Lynch||Erica Leerhsen,Henry Rollins,Texas Battle,Daniella Alonso,Steve Braun|2007|100|Horror,Thriller|west virginia,woods,reality show,cannibal|-|English|1h 36m|$4,000,000.00|-
X-Men: First Class|72.0|Matthew Vaughn||James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon,Rose Byrne|2011|100|Action,Science Fiction,Adventure|cia,mutant,mine,superhero,based on comic,superhuman,historical fiction,nuclear war,cuban missile crisis,world war iii,1960s|$353,624,124.00|English|2h 12m|$160,000,000.00|http://www.x-menfirstclassmovie.com/
Overboard|68.0|Garry Marshall|Leslie Dixon|Goldie Hawn,Kurt Russell,Edward Herrmann,Katherine Helmond,Mike Hagerty|1987|100|Comedy,Romance|amnesia,mother role,yacht,son|$26,713,187.00|English|1h 46m|$1,880,006.00|-
The Transformers: The Movie|70.0|Nelson Shin||Judd Nelson,Peter Cullen,Frank Welker,Leonard Nimoy,Orson Welles|1986|100|Animation|toy,transformation,based on toy,transformers,robot,intergalactic war|$5,849,647.00|English|1h 24m|$6,000,000.00|-
